site,lat,long,lab,age,std,country_state,region,original_affiliation,culture,context,source,page
PA-AL-39 Itapinima,-3.662967,-52.424232,Beta 17133,600,70,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-39 Itapinima,-3.662967,-52.424232,Beta 17132,570,80,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-39 Itapinima,-3.662967,-52.424232,SI-4344,485,90,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-39 Itapinima,-3.662967,-52.424232,Beta 17131,460,50,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-39 Itapinima,-3.662967,-52.424232,Beta 17128,400,90,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-39 Itapinima,-3.662967,-52.424232,SI-4345,275,75,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-39 Itapinima,-3.662967,-52.424232,Beta 17129,270,60,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-13 Boa Vista II,-2.785293,-52.077808,Beta 17124,770,80,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-13 Boa Vista II,-2.785293,-52.077808,SI-3509,585,60,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-13 Boa Vista II,-2.785293,-52.077808,SI-3508,105,55,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
Santo Antonio 10,-3.12936,-51.766895,OxA-33034,843,27,Para,4,Koriabo,1 - Koriabo,,Müller et al 2016,209
PA-AL-15 Cacarapi II,-2.65895,-52.064829,Beta 17126,800,70,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-AL-15 Cacarapi II,-2.65895,-52.064829,SI-3512,520,55,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
PA-BI-04 Cachoeira Grande,-3.911179,-52.822356,SI 4351,600,60,Para,4,Cacarapi,1 - Koriabo,,Perota 1992,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-322202,960,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6844,664,57,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386141,660,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6837,652,56,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6843,650,59,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386134,640,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6840,537,58,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386136,590,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
